StateCodeYear ,GDP,population,Total energy consumption,Total energy production,FFTCB/TETCB,Industry Proportion
AZ2009       ,242.509,6343154,1454313.457,570994.0459,0.90128922,163
AZ2008       ,262.521,6280362,1545075.838,577726.7231,0.92372753,163
AZ2007       ,272.417,6167681,1571433.679,539833.9367,0.903974422,163
AZ2006       ,265.798,6029141,1530533.748,512423.4696,0.904848301,163
AZ2005       ,251.185,5839077,1478787.241,612025.5941,0.902963854,163
AZ2004       ,232.105,5652404,1431808.905,653736.2345,0.938270364,163
AZ2003       ,224.65,5510364,1365544.042,644988.8232,0.892074094,163
AZ2002       ,212.195,5396255,1348219.941,690114.9798,0.882684236,163
AZ2001       ,206.56,5273477,1336265.085,684648.2485,0.886530067,163
AZ2000       ,202.215,5160586,1333438.288,705499.6313,0.864218306,163
AZ1999       ,192.41,5023823,1288996.444,692119.9063,0.833409888,163
AZ1998       ,177.319,4883342,1244252.893,693323.956,0.823629416,163
AZ1997       ,163.114,4736990,1187345.927,706794.872,0.797209532,163
CA2009       ,1912.115,36961229,8005515.051,2605311.838,0.743495185,239
CA2008       ,1993.244,36604337,8297581.965,2657671.43,0.743754794,239
CA2007       ,1999.34,36250311,8450611.85,2747170.717,0.750858789,239
CA2006       ,1975.457,36021202,8405214.664,2954490.392,0.744100041,239
CA2005       ,1910.337,35827943,8328202.618,2961901.104,0.739382981,239
CA2004       ,1832.792,35574576,8335521.14,2919763.286,0.749454467,239
CA2003       ,1745.049,35253159,8208142.326,3093978.423,0.752067592,239
CA2002       ,1669.677,34871843,8035112.732,3098738.453,0.763106431,239
CA2001       ,1627.983,34479458,7995196.742,3055776.677,0.776059497,239
CA2000       ,1638.988,33987977,7987683.987,3270862.915,0.765538171,239
CA1999       ,1525.588,33499204,7838876.822,3334186.801,0.751313885,239
CA1998       ,1421.713,32987675,7839239.703,3459044.035,0.741943806,239
CA1997       ,1343.127,32486010,7579562.292,3362272.205,0.735746754,239
NM2009       ,82.838,2036802,670094.5064,2412219.049,1.194785002,333
NM2008       ,82.853,2010662,696094.1778,2461440.58,1.144989608,333
NM2007       ,80.984,1990070,714279.8546,2533348.811,1.143791142,333
NM2006       ,80.852,1962137,686024.7111,2651102.588,1.184423348,333
NM2005       ,79.596,1932274,680850.894,2750153.543,1.176684556,333
NM2004       ,79.119,1903808,680525.2699,2733397.11,1.172391953,333
NM2003       ,74.311,1877574,653788.2621,2693377.752,1.192888268,333
NM2002       ,71.283,1855309,655477.3966,2713954.4,1.158528967,333
NM2001       ,69.448,1831690,664219.3946,2780060.767,1.200268509,333
NM2000       ,68.793,1821204,676800.9436,2728386.896,1.196140995,333
NM1999       ,67.614,1808082,651747.0759,2576219.351,1.20003637,333
NM1998       ,63.999,1793484,649553.1516,2596628.444,1.192252742,333
NM1997       ,64.422,1774839,656304.0088,2668895.379,1.191572194,333
TX2009       ,1166.516,24801761,11297410.59,11914996.72,0.921073567,501
TX2008       ,1173.697,24309039,11761527.02,12060447.46,0.92870234,501
TX2007       ,1166.68,23831983,12068165.68,11372515.34,0.939076781,501
TX2006       ,1111.803,23359580,11988110.8,11000887.19,0.93842964,501
TX2005       ,1047.014,22778123,11544259.62,10833005.51,0.946490722,501
TX2004       ,1023.202,22394023,12054552.92,10804244.13,0.952205284,501
TX2003       ,976.634,22030931,11973320.04,10914015.11,0.953479941,501
TX2002       ,968.721,21690325,12108417.68,10868505.78,0.956551127,501
TX2001       ,954.786,21319622,11878785.05,11197684.9,0.952471809,501
TX2000       ,930.61,20944499,12054512.27,11271703.92,0.957558878,501
TX1999       ,900.96,20558220,11685942.83,11106714.52,0.957957936,501
TX1998       ,866.952,20157531,12024684.51,11699623.17,0.953176336,501
TX1997,816.575,19740317,11840669.74,11876710.2,0.952636952,501
